Index,Tag,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries
1,Lion: 8530,IR-SAT Tag,72,2/1/2025 2:22,Every 2 hours,-3.569262°,38.191652°,(-),<10 meters,0 km/h,3.64 Volt,39°C,(-),Y,"[7695,-4704,13528]",N,0,Y,0
2,Lion: 8531,IR-SAT Tag,72,2/1/2025 2:22,Every 2 hours,-3.597067°,38.125322°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[-665,-8031,13199]",N,0,N,2
3,Lion: 8529,IR-SAT Tag,72,2/1/2025 2:30,Every 2 hours,-3.552925°,38.116773°,(-),10 meters,0 km/h,3.64 Volt,44°C,(-),Y,"[-11428,-9579,-5190]",N,0,N,2
4,Lion: 8528,IR-SAT Tag,72,2/1/2025 2:47,Every 2 hours,-3.580113°,38.174217°,(-),10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[7140,-7649,11758]",N,0,Y,0
5,Lion: 8530,IR-SAT Tag,72,2/1/2025 4:22,Every 2 hours,-3.569293°,38.191653°,(-),<10 meters,0 km/h,3.64 Volt,39°C,(-),Y,"[8709,-5656,12099]",N,0,N,2
6,Lion: 8531,IR-SAT Tag,72,2/1/2025 4:23,Every 2 hours,-3.597107°,38.125355°,(-),<10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[-15506,-1082,-1459]",N,0,N,4
7,Lion: 8529,IR-SAT Tag,72,2/1/2025 4:32,Every 2 hours,-3.553002°,38.116772°,(-),10 meters,0 km/h,3.64 Volt,39°C,(-),Y,"[-16081,-498,-532]",N,0,Y,0
8,Lion: 8528,IR-SAT Tag,72,2/1/2025 4:48,Every 2 hours,-3.580078°,38.173943°,(-),<10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[-13150,2034,8486]",N,0,Y,0
9,Lion: 8530,IR-SAT Tag,72,2/1/2025 6:22,Every 2 hours,-3.569123°,38.191553°,(-),10 meters,1 km/h,3.64 Volt,32°C,(-),Y,"[-10461,-1376,11548]",N,0,Y,0
10,Lion: 8531,IR-SAT Tag,72,2/1/2025 6:23,Every 2 hours,-3.597035°,38.125388°,(-),10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[5953,-9636,11026]",N,0,Y,0
11,Lion: 8529,IR-SAT Tag,72,2/1/2025 6:32,Every 2 hours,-3.553010°,38.117268°,(-),10 meters,0 km/h,3.63 Volt,39°C,(-),Y,"[917,-4070,15236]",N,0,Y,0
12,Lion: 8528,IR-SAT Tag,72,2/1/2025 6:50,Every 2 hours,-3.580048°,38.173610°,(-),50 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[12695,5544,-8519]",N,0,N,2
13,Lion: 8531,IR-SAT Tag,72,2/1/2025 8:24,Every 2 hours,-3.597095°,38.125247°,(-),<10 meters,0 km/h,3.69 Volt,35°C,(-),Y,"[-13856,1924,7022]",N,0,Y,0
14,Lion: 8530,IR-SAT Tag,72,2/1/2025 8:25,Every 2 hours,-3.569078°,38.191483°,(-),10 meters,0 km/h,3.65 Volt,36°C,(-),Y,"[16506,451,2802]",N,0,N,2
15,Lion: 8529,IR-SAT Tag,72,2/1/2025 8:32,Every 2 hours,-3.551572°,38.116705°,(-),10 meters,0 km/h,3.63 Volt,35°C,(-),Y,"[8098,-8919,10075]",N,0,Y,1
16,Lion: 8528,IR-SAT Tag,72,2/1/2025 8:50,Every 2 hours,-3.579955°,38.173682°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[14452,4372,-6244]",N,0,N,3
17,Lion: 8530,IR-SAT Tag,72,2/1/2025 10:24,Every 2 hours,-3.569130°,38.191543°,(-),<10 meters,0 km/h,3.64 Volt,33°C,(-),Y,"[16633,-973,-230]",N,0,Y,0
18,Lion: 8531,IR-SAT Tag,72,2/1/2025 10:24,Every 2 hours,-3.597035°,38.125230°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[-15452,-1740,-111]",N,0,N,3
19,Lion: 8529,IR-SAT Tag,72,2/1/2025 10:33,Every 2 hours,-3.535588°,38.124278°,(-),<10 meters,0 km/h,3.64 Volt,32°C,(-),Y,"[9135,-7165,10776]",N,0,Y,0
20,Lion: 8528,IR-SAT Tag,72,2/1/2025 10:50,Every 2 hours,-3.579988°,38.173642°,(-),<10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[16283,1507,-404]",N,0,N,2
21,Lion: 8530,IR-SAT Tag,72,2/1/2025 12:25,Every 2 hours,-3.573190°,38.197632°,(-),10 meters,3 km/h,3.64 Volt,31°C,(-),Y,"[4458,-6591,13639]",N,0,N,3
22,Lion: 8531,IR-SAT Tag,72,2/1/2025 12:25,Every 2 hours,-3.597095°,38.125367°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[8171,9125,8527]",N,0,N,2
23,Lion: 8529,IR-SAT Tag,72,2/1/2025 12:34,Every 2 hours,-3.525150°,38.128848°,(-),10 meters,4 km/h,3.63 Volt,30°C,(-),Y,"[5387,-3617,13700]",N,0,Y,0
24,Lion: 8528,IR-SAT Tag,72,2/1/2025 12:51,Every 2 hours,-3.580010°,38.173632°,(-),<10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[-14656,-290,5692]",N,0,Y,1
25,Lion: 8530,IR-SAT Tag,72,2/1/2025 14:25,Every 2 hours,-3.577450°,38.198243°,(-),10 meters,2 km/h,3.65 Volt,30°C,(-),Y,"[-10352,-755,11436]",N,0,Y,0
26,Lion: 8531,IR-SAT Tag,72,2/1/2025 14:26,Every 2 hours,-3.601197°,38.120320°,(-),<10 meters,3 km/h,3.69 Volt,30°C,(-),Y,"[3952,-1266,14176]",N,0,N,2
27,Lion: 8529,IR-SAT Tag,72,2/1/2025 14:35,Every 2 hours,-3.513182°,38.129180°,(-),10 meters,5 km/h,3.63 Volt,29°C,(-),Y,"[5253,318,2798]",N,0,Y,0
28,Lion: 8528,IR-SAT Tag,72,2/1/2025 14:51,Every 2 hours,-3.579997°,38.173655°,(-),10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[-10155,-10840,-4270]",N,0,N,2
29,Lion: 8531,IR-SAT Tag,72,2/1/2025 16:26,Every 2 hours,-3.597038°,38.125297°,(-),10 meters,1 km/h,3.69 Volt,30°C,(-),Y,"[7343,-3950,12848]",N,0,N,3
30,Lion: 8530,IR-SAT Tag,72,2/1/2025 16:26,Every 2 hours,-3.577420°,38.198222°,(-),<10 meters,0 km/h,3.64 Volt,30°C,(-),Y,"[7795,1646,14022]",N,0,Y,0
31,Lion: 8529,IR-SAT Tag,72,2/1/2025 16:35,Every 2 hours,-3.513105°,38.129787°,(-),<10 meters,0 km/h,3.64 Volt,29°C,(-),Y,"[-10417,-2273,11767]",N,0,Y,0
33,Lion: 8530,IR-SAT Tag,72,2/1/2025 18:27,Every 2 hours,-3.577440°,38.198242°,(-),<10 meters,0 km/h,3.64 Volt,29°C,(-),Y,"[-9538,-794,12371]",N,0,Y,0
34,Lion: 8531,IR-SAT Tag,72,2/1/2025 18:28,Every 2 hours,-3.597192°,38.125185°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[14665,2181,-6947]",N,0,N,2
35,Lion: 8529,IR-SAT Tag,72,2/1/2025 18:36,Every 2 hours,-3.513265°,38.129805°,(-),<10 meters,0 km/h,3.64 Volt,29°C,(-),Y,"[9023,-7214,10839]",N,0,Y,0
